Episode 1: Total Reward = 736.0, Epsilon = 0.99, steps = 127.00
Episode 2: Total Reward = 1248.0, Epsilon = 0.99, steps = 127.00
Episode 3: Total Reward = -292.0, Epsilon = 0.99, steps = 48.00
Episode 4: Total Reward = 120.0, Epsilon = 0.98, steps = 91.00
Episode 5: Total Reward = 1880.0, Epsilon = 0.98, steps = 91.00
Episode 6: Total Reward = 400.0, Epsilon = 0.97, steps = 100.00
Episode 7: Total Reward = 176.0, Epsilon = 0.97, steps = 103.00
Episode 8: Total Reward = -32.0, Epsilon = 0.96, steps = 79.00
Episode 9: Total Reward = -188.0, Epsilon = 0.96, steps = 56.00
Episode 1: Total Reward = 228.0, Epsilon = 0.99, steps = 138.00
Episode 2: Total Reward = -616.0, Epsilon = 0.99, steps = 66.00
Episode 3: Total Reward = -88.0, Epsilon = 0.99, steps = 127.00
Episode 4: Total Reward = -172.0, Epsilon = 0.98, steps = 122.00
Episode 5: Total Reward = 8.0, Epsilon = 0.98, steps = 108.00
Episode 6: Total Reward = 340.0, Epsilon = 0.97, steps = 139.00
Episode 7: Total Reward = -416.0, Epsilon = 0.97, steps = 87.00
Episode 8: Total Reward = -44.0, Epsilon = 0.96, steps = 136.00
Episode 9: Total Reward = 1280.0, Epsilon = 0.96, steps = 136.00
Episode 10: Total Reward = 232.0, Epsilon = 0.95, steps = 135.00
Episode 11: Total Reward = -460.0, Epsilon = 0.95, steps = 76.00
Episode 12: Total Reward = -192.0, Epsilon = 0.94, steps = 98.00
Episode 13: Total Reward = -464.0, Epsilon = 0.94, steps = 78.00
Episode 14: Total Reward = -388.0, Epsilon = 0.93, steps = 89.00
Episode 15: Total Reward = 1544.0, Epsilon = 0.93, steps = 89.00
Episode 16: Total Reward = 1364.0, Epsilon = 0.92, steps = 89.00
Episode 17: Total Reward = 1248.0, Epsilon = 0.92, steps = 89.00
Episode 18: Total Reward = 172.0, Epsilon = 0.91, steps = 141.00
Episode 19: Total Reward = 288.0, Epsilon = 0.91, steps = 147.00
Episode 20: Total Reward = 1804.0, Epsilon = 0.90, steps = 147.00
Episode 21: Total Reward = 220.0, Epsilon = 0.90, steps = 136.00
Episode 22: Total Reward = -348.0, Epsilon = 0.90, steps = 84.00
Episode 23: Total Reward = 32.0, Epsilon = 0.89, steps = 118.00
Episode 24: Total Reward = -652.0, Epsilon = 0.89, steps = 65.00
Episode 25: Total Reward = 1176.0, Epsilon = 0.88, steps = 65.00
Episode 26: Total Reward = 416.0, Epsilon = 0.88, steps = 147.00
Episode 27: Total Reward = 1340.0, Epsilon = 0.87, steps = 147.00
Episode 28: Total Reward = 216.0, Epsilon = 0.87, steps = 133.00
Episode 29: Total Reward = 1316.0, Epsilon = 0.86, steps = 133.00
Episode 30: Total Reward = 88.0, Epsilon = 0.86, steps = 138.00
Episode 31: Total Reward = 148.0, Epsilon = 0.86, steps = 136.00
Episode 32: Total Reward = 220.0, Epsilon = 0.85, steps = 120.00
Episode 33: Total Reward = -364.0, Epsilon = 0.85, steps = 99.00
Episode 34: Total Reward = 236.0, Epsilon = 0.84, steps = 147.00
Episode 35: Total Reward = 348.0, Epsilon = 0.84, steps = 149.00
Episode 36: Total Reward = -20.0, Epsilon = 0.83, steps = 113.00
Episode 37: Total Reward = -316.0, Epsilon = 0.83, steps = 102.00
Episode 38: Total Reward = -36.0, Epsilon = 0.83, steps = 111.00
Episode 39: Total Reward = 40.0, Epsilon = 0.82, steps = 117.00
Episode 40: Total Reward = 236.0, Epsilon = 0.82, steps = 137.00
Episode 41: Total Reward = -424.0, Epsilon = 0.81, steps = 100.00
Episode 42: Total Reward = 1308.0, Epsilon = 0.81, steps = 100.00
Episode 43: Total Reward = 1432.0, Epsilon = 0.81, steps = 100.00
Episode 44: Total Reward = 224.0, Epsilon = 0.80, steps = 131.00
Episode 45: Total Reward = 716.0, Epsilon = 0.80, steps = 131.00
Episode 46: Total Reward = 1224.0, Epsilon = 0.79, steps = 131.00
Episode 47: Total Reward = 328.0, Epsilon = 0.79, steps = 138.00
