2048 RL!
iteration: 103, score: 920, eps: 0.9498200179988
iteration: 205, score: 640, eps: 0.9496400719904009
iteration: 335, score: 1112, eps: 0.9494601619676049
iteration: 442, score: 768, eps: 0.9492802879232153
iteration: 626, score: 1552, eps: 0.9489206477408777
iteration: 807, score: 1508, eps: 0.9485611513858457
iteration: 897, score: 608, eps: 0.9485611513858457
iteration: 1075, score: 1432, eps: 0.9482017988005997
iteration: 1184, score: 744, eps: 0.948022176403678
iteration: 1315, score: 1156, eps: 0.9476630393653127
iteration: 1421, score: 1000, eps: 0.9474835247095036
iteration: 1635, score: 2056, eps: 0.9471246030887296
iteration: 1769, score: 1248, eps: 0.9469451961094079
iteration: 1919, score: 1400, eps: 0.9465864897770133
iteration: 2009, score: 644, eps: 0.9464071904095923
iteration: 2145, score: 1140, eps: 0.946227926898459
iteration: 2254, score: 828, eps: 0.946048699236443
iteration: 2398, score: 1240, eps: 0.945869507416375
iteration: 2443, score: 172, eps: 0.9456903514310875
iteration: 2580, score: 1156, eps: 0.9455112312734141
iteration: 2716, score: 1188, eps: 0.945153098412252
iteration: 2939, score: 2352, eps: 0.9447951087755877
iteration: 3083, score: 1240, eps: 0.9446161676485417
iteration: 3200, score: 1024, eps: 0.9444372623061426
iteration: 3308, score: 940, eps: 0.9440795589466614
iteration: 3460, score: 1120, eps: 0.9439007609152712
iteration: 3562, score: 704, eps: 0.9437219986399116
iteration: 3659, score: 624, eps: 0.943543272113432
iteration: 3762, score: 692, eps: 0.9433645813286834
iteration: 3898, score: 1120, eps: 0.9431859262785182
iteration: 3982, score: 596, eps: 0.9430073069557902
iteration: 4141, score: 1396, eps: 0.9426501754640679
iteration: 4256, score: 1040, eps: 0.9424716632807885
iteration: 4352, score: 620, eps: 0.9422931867963757
iteration: 4593, score: 2268, eps: 0.9419363408955952
iteration: 4747, score: 1348, eps: 0.9415796377046313
iteration: 4869, score: 1000, eps: 0.9414013396074944
iteration: 4970, score: 728, eps: 0.9412230771664112
iteration: 5129, score: 1352, eps: 0.9408666592238853
iteration: 5295, score: 1300, eps: 0.940688503708186
iteration: 5368, score: 328, eps: 0.9405103838200269
iteration: 5432, score: 324, eps: 0.9403322995522834
iteration: 5534, score: 664, eps: 0.9401542508978318
iteration: 5683, score: 1356, eps: 0.9399762378495504
iteration: 5749, score: 300, eps: 0.9397982604003187
iteration: 5870, score: 1000, eps: 0.9396203185430174
iteration: 5963, score: 556, eps: 0.9394424122705292
iteration: 6005, score: 116, eps: 0.9392645415757375
iteration: 6109, score: 664, eps: 0.9390867064515275
iteration: 6204, score: 640, eps: 0.9389089068907859
iteration: 6260, score: 280, eps: 0.9389089068907859
iteration: 6404, score: 1220, eps: 0.9385534144312614
iteration: 6577, score: 1672, eps: 0.9383757215182588
iteration: 6732, score: 972, eps: 0.9380204422902342
iteration: 6931, score: 2260, eps: 0.9376653051454822
iteration: 7002, score: 380, eps: 0.9374877898365757
iteration: 7099, score: 624, eps: 0.9374877898365757
iteration: 7238, score: 1284, eps: 0.9371328657101986
iteration: 7363, score: 1036, eps: 0.9369554568785311
iteration: 7462, score: 624, eps: 0.9367780835250821
iteration: 7582, score: 1060, eps: 0.9366007456427563
iteration: 7724, score: 1156, eps: 0.9362461762631028
iteration: 7868, score: 1076, eps: 0.9360689447515921
iteration: 7956, score: 596, eps: 0.9358917486828393
iteration: 8054, score: 588, eps: 0.9357145880497566
iteration: 8161, score: 772, eps: 0.9355374628452574
iteration: 8244, score: 564, eps: 0.9353603730622571
iteration: 8388, score: 1308, eps: 0.9351833186936716
iteration: 8547, score: 1508, eps: 0.9348293161714186
iteration: 8681, score: 1108, eps: 0.934652368003591
iteration: 8804, score: 844, eps: 0.9342985778191436
iteration: 8925, score: 1024, eps: 0.9341217357883724
iteration: 9052, score: 1040, eps: 0.9339449291224706
iteration: 9225, score: 1440, eps: 0.9335914218569881
iteration: 9340, score: 1000, eps: 0.9334147212432671
iteration: 9433, score: 664, eps: 0.9332380559661351
iteration: 9578, score: 1280, eps: 0.9330614260185254
iteration: 9729, score: 1308, eps: 0.9327082720836136
iteration: 9842, score: 988, eps: 0.9325317480821855
iteration: 9977, score: 1196, eps: 0.9323552593820273
iteration: 10112, score: 932, eps: 0.9320023878572844
iteration: 10242, score: 1072, eps: 0.9318260050185848
iteration: 10383, score: 1204, eps: 0.9316496574529255
iteration: 10521, score: 1216, eps: 0.9312970681125136
iteration: 10622, score: 740, eps: 0.9311208263236574
iteration: 10784, score: 1368, eps: 0.9309446197796344
iteration: 10910, score: 912, eps: 0.9305923123978964
iteration: 11059, score: 1284, eps: 0.930416211546089
iteration: 11177, score: 1036, eps: 0.9302401459109302
iteration: 11328, score: 1152, eps: 0.9298881202623892
iteration: 11437, score: 756, eps: 0.929712160234926
iteration: 11607, score: 1336, eps: 0.9293603457384222
iteration: 11695, score: 544, eps: 0.9293603457384222
iteration: 11794, score: 592, eps: 0.929184491255309
iteration: 11904, score: 824, eps: 0.9288328877841892
iteration: 12007, score: 628, eps: 0.9286571387821183
iteration: 12293, score: 2952, eps: 0.9283057462098052
iteration: 12446, score: 1300, eps: 0.9279544941664133
iteration: 12593, score: 1324, eps: 0.9277789208254993
iteration: 12659, score: 412, eps: 0.9276033825957424
iteration: 12764, score: 640, eps: 0.9274278794701208
iteration: 12920, score: 1352, eps: 0.9270769785032048
iteration: 12971, score: 264, eps: 0.9270769785032048
iteration: 13057, score: 556, eps: 0.9269015806478744
iteration: 13209, score: 1252, eps: 0.926550890158389
iteration: 13297, score: 564, eps: 0.926550890158389
iteration: 13401, score: 612, eps: 0.926200339917048
iteration: 13491, score: 672, eps: 0.926200339917048
iteration: 13609, score: 852, eps: 0.9258499298677632
iteration: 13676, score: 352, eps: 0.9258499298677632
iteration: 13777, score: 644, eps: 0.9256747773976204
iteration: 13863, score: 648, eps: 0.9254996599544689
iteration: 14043, score: 1492, eps: 0.9251495301211221
iteration: 14184, score: 1432, eps: 0.9249745177169217
iteration: 14283, score: 724, eps: 0.9247995403117021
iteration: 14399, score: 1124, eps: 0.9246245978984642
iteration: 14574, score: 1468, eps: 0.9242748180199443
iteration: 14678, score: 684, eps: 0.924099980540671
iteration: 14788, score: 928, eps: 0.9239251780253971
iteration: 14874, score: 628, eps: 0.9237504104671305
iteration: 14985, score: 724, eps: 0.9235756778588803
iteration: 15136, score: 1480, eps: 0.9232263174644737
iteration: 15237, score: 764, eps: 0.9230516896643429
iteration: 15305, score: 308, eps: 0.9228770967862798
iteration: 15376, score: 328, eps: 0.9228770967862798
iteration: 15501, score: 1084, eps: 0.9225280157684234
iteration: 15671, score: 1364, eps: 0.9223535276146666
iteration: 15775, score: 696, eps: 0.9221790743550512
iteration: 15872, score: 596, eps: 0.9220046559825988
iteration: 15969, score: 632, eps: 0.9218302724903328
iteration: 16133, score: 1376, eps: 0.9214816101184599
iteration: 16213, score: 556, eps: 0.9213073312249065
iteration: 16303, score: 576, eps: 0.9211330871836464
iteration: 16437, score: 1192, eps: 0.92095887798771
iteration: 16518, score: 568, eps: 0.9207847036301288
iteration: 16618, score: 904, eps: 0.9206105641039358
iteration: 16729, score: 1004, eps: 0.9204364594021656
iteration: 16808, score: 504, eps: 0.9202623895178538
iteration: 16920, score: 1024, eps: 0.9200883544440378
iteration: 17062, score: 1240, eps: 0.9199143541737559
iteration: 17193, score: 1056, eps: 0.9197403887000484
iteration: 17433, score: 2648, eps: 0.9192187009887924
iteration: 17568, score: 1280, eps: 0.9190448746318097
iteration: 17721, score: 1416, eps: 0.9186973261962781
iteration: 17875, score: 1200, eps: 0.9185236041038273
iteration: 17952, score: 496, eps: 0.9183499167523206
iteration: 18021, score: 356, eps: 0.9181762641348107
iteration: 18142, score: 1244, eps: 0.9180026462443515
iteration: 18271, score: 1172, eps: 0.9178290630739983
iteration: 18443, score: 1428, eps: 0.9174820008658378
iteration: 18527, score: 560, eps: 0.9173085218141481
iteration: 18572, score: 152, eps: 0.9173085218141481
iteration: 18670, score: 652, eps: 0.9171350774547994
iteration: 18800, score: 1200, eps: 0.9169616677808538
